OTU;A1-T0;A1-T14;A1-T28;A2-T0;A2-T14;A2-T28;A3-T0;A3-T14;A3-T28;A4-T0;A4-T14;A4-T28;A5-T0;A5-T14;A5-T28;C1-T28;C3-T28;C5-T28;CRCjanv2009;CRCjanv2010;CRCjuin2010;CRCmars2010;P1D1;P1D2;P1D3;P1N2;P1N4;P1N5;P1P1;P1P4;P3D1;P3D2;P3D3;P3N2;P3N4;P3N5;P3P1;P3P4;P5D1;P5D2;P5D3;P5N2;P5N4;P5N5;P5P1;P5P4;Sainjanv2009;Sainjuin2010;Sainmars2010
OTU_0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;35;18;0;0;0;0;4;0;0;5;3;9;0;0;0;0;0;8;4;21;0;0;0;0;0;2;5;4;0;0;0;0;0
OTU_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;0;69;120;0;6;2;0;0;0;138;2;1;10;75;7;0;0;151;0;2;1;8;25;0;0;0;0;20
OTU_2;143;69;0;51;24;38;0;0;0;0;0;0;29;86;38;0;0;0;0;0;0;0;0;0;0;59;97;109;0;0;0;0;0;124;2;25;7;22;0;0;0;145;129;0;37;0;2;0;0
OTU_3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;26;38;0;9;5;0;0;0;43;1;0;48;33;23;0;0;60;0;0;14;45;29;0;0;0;0;0
OTU_4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;16;0;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
OTU_5;4;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;118;121;0;0;0;0;0;0;3;141;95;39;2;0;1;0;10;207;0;164;3;17;1;65;11;268;160;0;2;0;0;0;0
OTU_6;78;57;0;57;42;60;0;0;1;0;1;0;71;31;56;1;296;123;0;0;0;0;5;0;0;132;600;491;19;0;1;0;0;218;1;483;10;0;0;0;0;99;57;0;18;3;5;0;0
OTU_7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_9;7;1;3;1;16;4;5;10;6;5;3;3;7;8;7;0;25;25;0;0;1;3;0;0;0;3;6;3;2;7;0;0;0;7;0;6;1;3;1;0;0;2;3;0;5;22;0;1;0
OTU_10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0
OTU_11;15;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;150;0;0;0;0;0;0;1;43;55;14;0;0;0;0;0;17;0;10;2;0;0;1;0;17;22;1;0;0;0;0;0
OTU_12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0
OTU_14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0
OTU_15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;88;0;52;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
OTU_16;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;111;12;3;41;0;15;5;212;172;16;13;16;66;4;12;187;3;20;5;9;0;1;52;160;12;17;5;0;4;16;9;0;6;9
OTU_17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
OTU_19;0;0;12;0;0;0;1;24;5;6;1;0;0;0;0;35;0;0;0;0;0;0;47;34;19;0;0;0;0;0;68;112;5;0;12;0;0;0;26;8;13;0;0;2;0;0;0;1;0
OTU_20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268;3;6;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU_23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;8;7;1;0;10;5;33;33;0;24;2;9;3;17;0;0;0;125;275;67;0;5;14;0;1;18;101;220;0;0;0;95;3
OTU_24;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;114;21;8;19;0;1;0;15;0;0;3;8;19;0;0;0;0;0;6;16;10;1;0;0;0;0;4;3;35;4;2;4;3;6
